GeneID,log2 FC,log10 p-value
GIMAP4,1.340780081,-3.774763638
GIMAP8,1.530342847,-2.596236411
GIN1,1.819438089,-1.637312046
GK,2.086074394,-1.62594412
GMCL1,1.046994562,-1.557291905
GOLPH3L,1.290741907,-2.024134068
GPLD1,1.085966825,-2.127512692
GPR141,1.246823966,-2.211587423
GPR155,1.277150238,-3.294135096
GPR18,1.330991516,-1.765736817
GPR199P,1.348302705,-2.555556014
GPR25,1.259163699,-1.594748029
GPR34,2.013098,-1.507094466
GRAMD1C,3.611657442,-1.668629641
GSKIP,1.189003461,-1.561765675
GTF2E1,1.101284106,-1.62090414
GTSE1-DT,1.969960028,-2.661467937
GVQW3,1.079521089,-1.569491565
GYPE,1.122058619,-2.50382846
H2BC18,3.750170232,-5.768028923
H2BC19P,2.514841207,-4.39752804
H2BC20P,1.890835246,-2.465677118
H3-3A-DT,3.467260276,-1.344129745
HBA2,2.808178763,-1.938154842
HBB,3.758577183,-1.436104991
HBM,1.876369267,-1.647678118
HEATR5A,1.275439625,-2.844752863
HERC3,1.256096632,-2.255700023
HILPDA,1.039022967,-3.120925075
HMGB1P31,1.728018324,-1.637105472
HMGCR,1.191348965,-2.672086895
HNRNPH1P1,1.933927913,-3.032721603
HOMEZ,1.413477327,-2.076794435
HS3ST1,1.865173296,-2.962323759
HSDL2,1.618521546,-1.426408153
HSPA6,3.410203315,-1.396597867
HSPE1P18,1.212349564,-1.373982729
HVCN1,1.260575099,-1.36004803
IDO1,3.768006413,-1.609496158
IFIT5,1.071502301,-1.571592934
IGIP,1.444788524,-2.303921876
IL10RB,1.627437632,-1.46854213
IL1R2,2.850063218,-1.5140305
IL1RAP,1.601211845,-1.303126292
IL5RA,4.135687366,-1.478094211
INKA2,3.327621053,-1.394262004
IRAG1,3.232755819,-1.341374549
IRAG2,1.314542164,-2.92938369
IRF2,1.536720138,-1.343890161
ISL2,2.888344594,-1.343990688
ITGAD,1.624237378,-1.717681341
ITPKB-IT1,1.939347187,-1.588496193
JAML,1.733973484,-1.454655315
JPX,1.010921643,-2.15979938
JRK,1.154490963,-2.536049846
JRKL,1.210758391,-1.434405326
KBTBD6,2.142946001,-1.860930395
KBTBD7,2.622041085,-2.221810168
KCNE1,1.842221371,-1.692910175
KCNJ2,2.504656851,-2.00310083
KHDRBS3,2.056878927,-2.243094354
KIAA0319,3.949489124,-1.698908008
KIAA1614-AS1,1.365103274,-2.100724863
KIAA1841,1.023880054,-1.547765184
KIF27,1.937795284,-1.457952552
KLF1,1.92518246,-1.537060116
KLRK1,1.298027181,-2.440897376
KNOP1,1.105101844,-1.659670719
KRCC1,1.486985272,-3.652307784
KRT8P12,1.546623318,-2.671911158
LACTB2,1.119180739,-1.871241564
LAX1,1.026820974,-1.860296071
LBR,1.497549181,-1.336116209
LCMT2,1.151521155,-2.172594945
LETM2,1.903464777,-1.829767174
LFNG,1.157812222,-1.921690143
LGALS8-AS1,1.287642187,-1.334317676
LILRB3,1.322897518,-1.565994288
LIMA1,1.163967726,-1.648223659
LIMD1-AS1,1.776545154,-3.182188102
LIME1,1.058123948,-3.080623207
LINC00324,1.045460297,-2.282214617
LINC00638,1.706136179,-2.781080131
LINC00659,1.407391085,-2.073254573
LINC00861,1.194989567,-2.260419388
LINC00896,1.794382979,-2.024845942
LINC00899,1.178223598,-2.277467332
LINC00910,1.30313267,-1.350844007
LINC00921,2.102332786,-5.636572819
LINC01002,2.013211394,-1.713994934
LINC01004,1.260875537,-1.452712749
LINC01232,1.474806448,-3.456987252
LINC01359,3.867252021,-1.305422487
LINC01410,1.966219911,-1.413245987
LINC01513,2.746513677,-4.047096305
LINC01801,1.279246389,-1.845627713
LINC01814,2.915834264,-4.944823394
LINC01819,1.314492801,-1.469880994
LINC02062,1.063569089,-2.063342946
LINC02158,2.672615473,-1.649106697
LINC02649,1.848332669,-1.585480999
LINC02656,1.463355164,-2.050192997
LINC02680,2.484365142,-1.36682845
LINC02724,1.035278395,-1.696053053
LINC02846,1.009796691,-1.74651267
LINC02863,5.089456286,-3.058148031
LIPN,1.287163608,-1.784012392
LPAR5,1.414929478,-3.166809209
LPGAT1,1.039941723,-1.30987552
LPL,1.881897798,-1.583005527
LRIF1,2.145130725,-3.400687192
LRRC61,1.27352078,-1.987507926
LRRK2-DT,3.001939193,-2.891179106
LRRN1,2.284121678,-1.617121511
LRWD1,1.575188493,-1.671476424
LUCAT1,4.940449649,-1.493278342
LUNAR1,3.972635078,-1.87677635
LYST,1.076312717,-1.799134445
MAK,2.741465593,-1.824929225
MAP1LC3A,1.249398695,-1.500548634
MAP7,2.654034536,-1.37301514
MARCHF7,1.161926326,-2.093535267
MBD6,1.216243279,-1.604938675
MCM3AP-AS1,1.198578242,-1.832414288
MED20,1.010336655,-2.484258489
MED25,1.065004955,-1.346325392
MED31,1.287172845,-4.145354928
MEF2C-AS1,1.234291094,-1.616770516
MFAP1,1.167005913,-3.004956092
MFAP3,1.133315386,-3.197846218
MFSD4B,1.308503741,-2.411902623
MGAM,4.190185038,-1.423664318
MGC16275,1.006990374,-1.449472018
MGME1,1.011866809,-2.352680489
MIR223HG,3.318807389,-6.337960927
MIR29B2CHG,2.34795955,-3.197742259
MIR3174,2.635626189,-2.664966049
MIR3176,1.881754978,-1.653030481
MIR320E,2.124349236,-1.331272525
MIR342,1.767740836,-1.685198895
MIR3605,2.682084498,-3.196358494
MIR3609,2.150051165,-2.407920398
MIR4518,2.588702568,-3.669235909
MIR6753,1.4826769,-1.946649922
MIR6813,2.122084639,-3.995695882
MIR6819,1.253203407,-1.972220317
MIR7848,1.263065616,-2.355425217
MIRLET7BHG,2.438292421,-1.957884034
MLYCD,1.002562699,-3.384273932
MMACHC,2.106335953,-2.929606759
MOCS3,1.375449276,-3.869683283
MOSPD2,2.135946563,-1.314909706
MPZ,1.499506788,-3.952952934
MTFMT,1.147606839,-1.379147643
MTG2,1.138709278,-1.914172774
MTMR10,2.254225375,-3.707762558
MYBPC3,1.31280588,-1.388544855
MYL4,3.514467487,-4.499043091
N6AMT1,1.041413557,-1.97045856
