ensembl_gene_id,Log2 RPKM mean_FemaleASD,Log2 RPKM mean_MaleASD,Log2 RPKM mean_MaleControl,Log2 RPKM mean_FemaleControl
ENSG00000215952,0.685565,0.76204,,
ENSG00000235471,0.727186,0.589279,,
ENSG00000234604,1.3001,0.963385,,
ENSG00000252354,0.749605,0.701995,,
ENSG00000206684,0.563226,0.502075,,
ENSG00000231615,0.606659,0.529766,,
ENSG00000236535,0.784415,0.779439,,
ENSG00000203737,0.61569,0.740756,,
ENSG00000237249,0.661887,0.774598,,
ENSG00000135828,0.501361,0.595306,,
ENSG00000261185,0.791315,0.875807,,
ENSG00000135824,0.716421,0.744958,,
ENSG00000230470,0.852284,0.698165,,
ENSG00000235449,0.61569,0.683385,,
ENSG00000224900,0.827202,0.802155,,
ENSG00000216137,0.685565,0.59942,,
ENSG00000196660,0.568187,0.633667,,
ENSG00000233012,0.691797,0.793001,,
ENSG00000221571,0.783876,0.509937,,
ENSG00000228106,0.555864,0.558045,,
ENSG00000233384,0.670593,0.556542,,
ENSG00000236636,0.685024,0.60445,,
ENSG00000154370,0.646933,0.588326,,
ENSG00000231563,0.537458,0.566411,,
ENSG00000199672,0.744957,0.630975,,
ENSG00000231272,0.714252,0.605179,,
ENSG00000223694,0.636259,0.592507,,
ENSG00000180287,0.694754,0.652356,,
ENSG00000214837,0.636726,0.648489,,
ENSG00000162849,0.510698,0.524483,,
ENSG00000230184,0.791895,0.619497,,
ENSG00000207326,1.03274,0.541474,,
ENSG00000196071,1.33703,0.652553,,
ENSG00000235445,0.905272,0.714907,,
ENSG00000100056,0.664044,0.53195,,
ENSG00000185252,0.607562,0.586941,,
ENSG00000242876,0.513348,0.541503,,
ENSG00000239266,0.57208,0.549269,,
ENSG00000183773,0.622531,0.568234,,
ENSG00000161179,0.556787,0.571716,,
ENSG00000133519,0.507977,0.518744,,
ENSG00000187792,0.704177,0.613095,,
ENSG00000133460,0.533593,0.535896,,
ENSG00000224003,0.893706,0.724843,,
ENSG00000235954,0.518242,0.506733,,
ENSG00000235786,0.750472,0.553987,,
ENSG00000183762,0.590785,0.683072,,
ENSG00000239127,0.696889,0.514353,,
ENSG00000100319,0.51505,0.53502,,
ENSG00000185133,0.538189,0.53126,,
ENSG00000224050,1.08809,0.877453,,
ENSG00000237406,0.788982,0.726647,,
ENSG00000234688,0.544163,0.502302,,
ENSG00000244627,0.523949,0.588845,,
ENSG00000233899,0.568279,0.636045,,
