GeneID;log2 FC;log10 p-value
AC011444,1;0,92554876;-0,937120298
AC011445,1;0,886026555;-0,787939187
AC011446,2;-0,628213593;-0,704423599
AC011447,3;1,756114806;-1,36999478
AC011447,7;-0,313176885;-0,403790458
AC011448,1;0,908561428;-0,925269384
AC011450,1;-0,314688245;-0,422302531
AC011461,1;-1,491101686;-0,649120424
AC011462,4;0,442090711;-0,553425446
AC011462,5;0,091021228;-0,09223096
AC011468,1;0,239071464;-1,411763236
AC011468,5;-0,924831949;-0,647768875
AC011472,2;0,395196241;-0,353847645
AC011476,3;-0,914198415;-0,418384895
AC011477,1;-0,39128579;-0,869663974
AC011479,3;-2,614821113;-0,931056792
AC011481,1;-0,295541144;-0,215955294
AC011484,1;2,666934463;-2,719283757
AC011491,3;0,124176688;-0,071272137
AC011495,1;2,204131993;-1,494246482
AC011497,2;0,469934265;-1,100063538
AC011498,2;0,534862959;-0,855314584
AC011498,6;-0,920677547;-0,603784464
AC011498,7;0,651576481;-0,891931608
AC011511,1;-1,071704219;-0,361517338
AC011511,2;0,685725478;-0,320309948
AC011603,2;-0,642889707;-0,526166752
AC011676,5;0,394895402;-0,632474472
AC011726,2;1,073322191;-1,64951282
AC011815,1;-0,513799505;-0,639531242
AC011815,2;0,68207048;-0,760418289
AC011816,1;-0,613053773;-0,543690151
AC011825,4;0,786138436;-0,804039007
AC011899,2;-0,186659453;-0,1100426
AC011912,1;-0,964831139;-0,97525487
AC011933,2;-0,32739708;-0,43284525
AC011939,1;-0,665659979;-0,253432664
AC011939,3;0,208948661;-0,524348599
AC011944,2;0,555709293;-1,065006352
AC011978,1;-1,299583;-0,608126161
AC012005,1;1,416047549;-0,941038657
AC012020,1;0,034527617;-0,1693042
AC012063,1;-0,714823525;-0,528398367
AC012065,2;-2,321855395;-1,170193316
AC012065,3;-0,898749708;-0,41637839
AC012073,1;0,462834439;-0,679871382
AC012173,1;0,125497838;-0,147306046
AC012181,1;1,172132569;-1,022205631
AC012181,2;-0,264902021;-0,934592651
AC012184,1;-0,122789983;-0,184280151
AC012184,3;0,073309571;-0,236883389
AC012184,4;-1,178341468;-1,818670068
AC012236,1;1,292069483;-1,355415116
AC012254,1;0,75709959;-1,175186574
AC012306,2;0,018191946;-0,04463403
AC012306,3;-0,958779219;-0,988738906
AC012313,1;0,225176614;-0,57821473
AC012313,10;0,338219635;-1,078926874
AC012313,2;-0,426292934;-0,308188819
AC012313,3;-0,404777927;-0,357983221
AC012313,4;-1,9758079;-1,458989161
AC012313,5;-1,005284146;-0,801266525
AC012313,6;-1,489549149;-0,444984519
AC012313,8;0,407183284;-0,646297769
AC012358,2;-0,573260635;-0,300391159
AC012368,1;0,281290829;-0,418451457
AC012442,1;0,664348961;-0,744267076
AC012443,2;0,851974157;-0,968744801
AC012467,2;-0,656174316;-1,655684352
AC012507,1;-0,233797185;-0,194542954
AC012511,1;1,043767234;-1,933213774
AC012513,3;-0,117045366;-0,131714471
AC012557,2;-1,310029361;-0,483624836
AC012615,1;-0,028258882;-0,062648443
AC012615,6;-1,348364618;-0,261035238
AC012618,3;-0,603546826;-0,425043132
AC012640,2;-0,544787786;-0,397590331
AC012645,1;0,438475816;-0,78843805
AC012645,3;-0,303501981;-0,534210232
AC012651,1;0,35469505;-1,401934832
AC013394,1;-0,319823217;-0,287031595
AC013403,2;-0,290420639;-0,409663172
AC013460,1;-2,932089366;-1,150498273
AC013468,1;-2,278385656;-4,268217828
AC013472,2;-0,111529343;-0,058672545
AC013474,1;-0,346078707;-0,155823361
AC013731,1;0,470383173;-1,261014029
AC015660,3;1,341537814;-1,453044293
AC015660,4;-1,701082674;-0,428703981
AC015712,2;-0,242533954;-0,214434323
AC015712,6;-1,331131344;-0,344216037
AC015726,1;-0,341020519;-1,206821241
AC015799,1;-0,226522666;-1,113305163
AC015802,4;-1,589590017;-1,40434062
AC015802,6;0,435378423;-0,53209843
AC015802,7;0,148916725;-0,158262667
