GeneID;PAT3 - female;CTRL3 -female;log2 FC;;;
XCL1;66146;13196;2,325553233;;;
AC011815.2;17198;3442;2,320921797;;;
AC092135.3;17198;3442;2,320921797;;;
AL356417.3;17198;3442;2,320921797;;;
H2AC20;17198;3442;2,320921797;;;
ILDR1;17198;3442;2,320921797;;;
HLA-DPB1;2120000;424569;2,319993323;;;
IL18RAP;2440000;489401;2,317792193;;;
DENND3;9730000;1960000;2,311586151;;;
SIPA1L2;472285;95241;2,310003042;;;
AL391903.1;39688;8032;2,304871688;;;
MIR29B2CHG;1720000;348835;2,301791861;;;
BASP1;4390000;890447;2,301619291;;;
FAM8A1;3140000;638000;2,29913623;;;
AC069528.2;42334;8606;2,298402065;;;
ALPK1;2300000;468173;2,296520221;;;
TIGD3;219606;44752;2,294893408;;;
ZCCHC2;3060000;624804;2,292056058;;;
CKLF;326763;67128;2,283258069;;;
AL138995.1;25136;5164;2,28319418;;;
BEST1;1480000;304657;2,280339382;;;
